Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Drew Sample,TE,CIN,@BUF,1.1,0.8,1.3,0.6,0.8,1.1,3.7,2.9,Main
Kaleb Johnson,RB,PIT,@BAL,1.1,1.1,1.1,1,1.1,1.1,2.3,2.2,Main
Brevyn Spann-Ford,TE,DAL,@DET,1,0.8,1.2,0.6,0.8,1,3.6,3,Thursday
Grant Calcaterra,TE,PHI,@LAC,1,0.7,1.2,0.5,0.7,1,3.5,2.8,Monday
Payne Durham,TE,TB,NO,1,0.8,1.1,0.6,0.8,1,2.6,2.1,Main
Quintin Morris,TE,JAX,IND,0.9,0.7,1.1,0.5,0.7,0.9,3.5,2.8,Main
Raheim Sanders,RB,CLE,TEN,0.7,0.6,0.7,0.6,0.6,0.7,2.6,2.5,Main
Drew Ogletree,TE,IND,@JAX,0.7,0.5,0.8,0.4,0.5,0.7,2.8,2.2,Main
Konata Mumpfield,WR,LA,@ARI,0.7,0.5,0.7,0.4,0.5,0.7,2.7,2.3,Main
Andre Baccellia,WR,ARI,LA,0.6,0.5,0.6,0.4,0.5,0.6,2.3,1.9,Main
Teagan Quitoriano,TE,ATL,SEA,0.6,0.5,0.7,0.4,0.5,0.6,2.5,2,Main
Dominic Lovett,WR,DET,DAL,0.6,0.5,0.6,0.4,0.5,0.6,2.6,2.1,Thursday
Malik Heath,WR,GB,CHI,0.6,0.5,0.6,0.4,0.5,0.6,2.4,1.9,Main
Laquon Treadwell,WR,IND,@JAX,0.6,0.5,0.6,0.3,0.5,0.6,2.3,1.8,Main
Dyami Brown,WR,JAX,IND,0.6,0.5,0.6,0.4,0.5,0.6,2.4,2,Main
Robert Tonyan,TE,KC,HOU,0.6,0.5,0.8,0.4,0.5,0.6,2.6,2.1,Sunday
Alec Ingold,RB,MIA,@NYJ,0.6,0.5,0.6,0.4,0.5,0.6,2.7,2.2,Main
Durham Smythe,TE,CHI,@GB,0.5,0.4,0.6,0.3,0.4,0.5,2,1.5,Main
Alex Bachman,WR,LV,DEN,0.5,0.4,0.5,0.3,0.4,0.5,2.1,1.7,Main
Scott Matlock,RB,LAC,PHI,0.5,0.4,0.5,0.2,0.4,0.5,2,1.5,Monday
Tucker Fisk,TE,LAC,PHI,0.5,0.4,0.6,0.3,0.4,0.5,2.1,1.7,Monday
Darius Cooper,WR,PHI,@LAC,0.5,0.4,0.5,0.3,0.4,0.5,2,1.6,Monday
Kylen Granson,TE,PHI,@LAC,0.5,0.4,0.6,0.3,0.4,0.5,1.9,1.5,Monday
Cody White,WR,SEA,@ATL,0.5,0.4,0.5,0.4,0.4,0.5,1.1,1,Main
Chris Moore,WR,WAS,@MIN,0.5,0.4,0.5,0.3,0.4,0.5,2,1.7,Main
Dare Ogunbowale,RB,HOU,@KC,0.4,0.3,0.4,0.2,0.3,0.4,1.6,1.3,Sunday
Trey Lance,QB,LAC,PHI,0.4,0.4,0.4,0.4,0.4,0.4,0,0,Monday
Jordan Whittington,WR,LA,@ARI,0.4,0.4,0.4,0.3,0.4,0.4,1.9,1.6,Main
Connor Heyward,TE,PIT,@BAL,0.4,0.3,0.4,0.3,0.3,0.4,1.1,0.9,Main
Keleki Latu,TE,BUF,CIN,0.3,0.3,0.4,0.2,0.3,0.3,1.3,1.1,Main
Charlie Jones,WR,CIN,@BUF,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.1,Main
Jalen Tolbert,WR,DAL,@DET,0.3,0.3,0.3,0.2,0.3,0.3,1.4,1.2,Thursday
Lil'Jordan Humphrey,WR,DEN,@LV,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1,Main
